,0,1
3814,"спасибо , нужная информация",2022-05-07 09:43:19
3823,👍🏻,2022-05-10 04:50:07
3797,"а в pdf есть? в png/jpeg картинка сжимается, качество страдает",2022-05-05 21:29:24
3791,здорово! приду посмотреть....спасибо,2022-04-30 14:56:06
3775,😀👍🏻👍🏻👍🏻,2022-04-25 16:42:42
3773,"да уж, шедевр архитектуры.... Кстати, у автора поста мания величия: хорду изогнули совсем не из-за сарая.😏",2022-04-24 11:27:27
3774,"спасибо огромное, зашла по ссылке ХРАНИТЕЛИ НАСЛЕДИЯ , прочитала статью, посмотрела удивительные иллюстрации моего Свиблово того времени.....очень интересно.....да, жаль, что не ценим то, что имеем...всегда проще разрушить, не думая о своих корнях, наследии, традициях, культуре....поставить новодел, а еще лучше человейник или очередной ТРЦ...земля же в Москве дорогая...зачем ""старикам"" коптить на ней место....не прибыльно, однако.....одним памятником архитектуры больше, одним меньше....И НЕ ТАКОЕ СНЕСЛИ.... и ничего....прокатило....только вот к чему приведет рубка под корень?? Сейчас уже понятие совесть, душевность доброта уходят И стереть пытаются с лица земли не только памятники русские, но и нас , русских",2022-04-25 05:29:51
3753,"Бедный двор.Каждый год его перекапывают, асфальтируют,устанавливают шлагбаумы а толку чуть.Через год снова здорова",2022-04-20 16:20:56
3747,,2022-04-19 10:48:36
3748,,2022-04-19 10:49:17
3742,"интересно будет заморочиться и хорошо бы все же мост понтонный или подобный восстановили через Яузу, а то получается -с глаз долой и нет проблем.....😀",2022-04-18 08:54:45
3738,"что-тот на один квадратный метр в парке многовато детских площадок....Вам так не кажется??? прогуляйтесь и обратите внимание....столько детей нет,сколько площадок наделали.....",2022-04-14 11:17:28
3730,,2022-04-13 15:53:04
3731,"эх, бассейн бы еще в Свиблово построили.....😏🙏🏻",2022-04-13 15:54:44
3716,Где сбор и во-сколько начало?,2022-04-11 20:27:03
3705,"А что это за ""народная тропа""? Это где?",2022-04-04 20:08:38
3699,Зима уходи....,2022-04-02 16:13:44
3671,Добрый день! Из-за сильного порыва ветра на территории ЖК Сильвер упал настил со строительной площадки. Мы направили обращение в адрес застройщика о необходимости проведения обследования фасада жилого дома. Строительство объекта возобновлено.,2022-03-28 12:28:58
3666,Эх! Жаль поздно!! Внучок обязательно бы принял участие!!! ),2022-03-27 10:08:52
3657,"Клуб сгорел лет 30 назад… А я в детстве туда на Кошмары на улице Вязов ходил - страху то было, ппц",2022-03-25 10:58:46
3601,"Здравствуйте. К сожалению, направление платежных документов как на бумажном носителе, так и в электронной форме, не относится к компетенции центров госуслуг. Доставка ЕПД относится к компетенции ГБУ """"ЕИРЦ"""".
По предварительной информации, ГБУ """"ЕИРЦ"""" загрузит все начисления и ЕПД в ближайшие дни. Как только это произойдет - все начисления будут отображены на портале. Какой-либо более точной информацией на данный момент мы, к сожалению, не располагаем. Просим ожидать поступления ЕПД.
Для получения разъяснений по порядку расчета платежей и формированию платежных документов Вы можете обратиться лично в УК, обслуживающую многоквартирный дом. Контактные данные УК Вы можете найти на портале dom.mos.ru, введя адрес дома.",2022-03-02 06:04:39
3565,"Говоришь, подвозил девушку, шлёшь их нахер и едешь дальше. 
Или говоришь, что ты уже приехал и ставишь машину. Потом приходишь и едешь дальше.",2022-02-17 20:49:24
3553,"Конечно не будет, тк уже сделали перерасчёт в квитанциях за февраль. Не так как в Коптево, но сам факт.",2022-02-14 16:56:21
3548,там хорошо дворы дороги убрали ??????????? ПУСТЬ НА ИГАРСКИЙ ПРИДЕТ ПОСМОТРИТ ЗАСРАНЫЕ ДВОРЫ в СНЕГУ !!!!!!!!!!!!!!!!!!!!!!!!,2022-02-11 17:12:11
3539,"Ага, значит по логике сегодня должны убрать весь снег! Это хорошая новость)))",2022-02-04 07:27:15
3521,"неужели застройщик разорился бы, если спроектировал мост не из нескольких секций с лестницами, а с одной лестницей? Колхоз получился.",2022-01-30 18:25:43
3501,бабки платить будут ?????? я плачу исправно каждый месяц !!!!!!!! или кто мне вернёт уплату жкх ????? делаю скрин этой картинки и жалуемся в управу г Москвы что не справляются с задачей !!!!!!! надоело уже только платежки прибавляют а толку нет (ГДЕ ДЕНЬГИ ) ???????,2022-01-20 17:48:53
3502,"начинаем фото охоту Дворы,стоянки,дет площадки,тротуары!!!!!!",2022-01-20 17:56:59
3493,,2022-01-15 16:43:59
3483,по этому дворы начали убирать от снега !!!!!! надо скрин сделать этих обходов и отправить в мэрию чтоб видели все что это показуха !!!!!!!!!!!!,2022-01-12 18:03:19
3444,Репортаж Москва 24: https://t.me/svao12sviblovo/2266,2021-12-14 13:25:23
3422,"Открытая эстакада СВХ в районе ТПУ ""Ботанический сад"" (видео в качестве 4К): https://www.youtube.com/watch?v=75Pgo0VikWg а также панорама 360 градусов на пересечении с ул. Вильгельма Пика: https://goo.gl/maps/TcAhzVfvVsqEfbLV8",2021-12-03 06:19:51
3404,Так уже достал этот перекресток за много лет,2021-11-27 11:34:01
3400,Так а почему приняли решение о понижении уровня? И кто это решение принял?,2021-11-27 10:30:52
3405,Этого стоило ожидать.🤣,2021-11-27 13:38:40
3406,В свиблово никогда ничего хорошего непостроят.А если и построят то обезательно станет дерьмом со временем.,2021-11-27 13:40:48
3414,"Здравствуйте. Поликлиника в Свиблове, согласно проекту, относится к первому уровню. На цокольном этаже разместятся гардеробные, вспомогательные и технические помещения, кладовые, медицинский архив. На первом этаже — зоны приема анализов, выдачи справок и направлений, кабинет дежурного врача, а также аптека и кабинет выдачи рецептов. На втором этаже расположатся терапевтическое отделение, кабинеты врачей патронажной службы, картохранилище, кабинет здорового ребенка, зона вакцинопрофилактики, служебно-бытовые и хозяйственные помещения. На третьем этаже будут кабинеты врачей-специалистов, лучевой и функциональной диагностики, служебно-бытовые и хозяйственные помещения, зона реабилитации. На четвертом этаже оборудуют зоны реабилитации, профилактики, кабинет администрации, клинико-диагностическую лабораторию и конференц-залы. Для маломобильных пациентов в поликлинике организуют безбарьерную среду. Кроме того, зоны для детей и взрослых будут максимально разделены: предусмотрены отдельные входы и выходы, лестницы и лифты. 
С уважением, представитель ДЗМ",2021-11-29 11:28:05
3358,Что такое квартал 23а?,2021-11-12 07:00:43
3359,Только обещают и ни..я не сделано. С 2017 года конь не валялся. В других районах строятся дома в хорошем темпе.,2021-11-12 07:26:44
3360,"Не строят не фига, на Нансена 8 , какой год уже.",2021-11-12 08:20:20
3327,Вот свежее видео с Ботсада: https://www.youtube.com/watch?v=tsE6Lubstaw,2021-10-28 17:08:55
3318,Очень интересно читать подобное для ознакомления с историей нашего округа. Выкладывайте такое почаще пожалуйста.,2021-10-26 18:58:10
3269,"Мост давно пора в порядок привести, а вот «бульвар» на Седова вполне в нормальном состоянии. Разве что дорожки надо выложить уже плиткой вместо той грязищи, что сейчас там вместо покрытия",2021-10-13 07:40:06
3260,вот это ностальгично. сколько лет то уже прошло?,2021-10-11 15:08:28
3226,Вот наисвежайшее) https://www.youtube.com/watch?v=DRzUDBc1PZE&t=22s,2021-10-04 16:20:53
3221,Только вода местами плёнкой или тиной покрыта.,2021-10-03 08:03:08
3144,Раньше я с закрытыми глазами переходил эту улицы и пробок никогда не было 😎,2021-09-06 22:00:13
3124,Нормальный пруд был.,2021-08-07 12:55:07
3100,И где же это?,2021-07-11 05:39:02
3093,А при чем тут Свиблово?,2021-07-08 05:52:57
3075,Вересковая улица не старое свиблово,2021-07-01 14:41:17
3042,ну пз...   очередной муровейник,2021-06-08 10:38:03
3045,"И молвил пророк Собянин.
Да будет дом и дороги.
И пусть застроим мы все.
Зато мы будем в бетоне и не утонем!🤣",2021-06-08 19:32:33
3013,лучше бы дыры заделали где надо чем в большинстве мест ломать нормальный прошлогодний асфальт  чтоб заменит  прошлогодний бардюр,2021-05-31 15:20:30
3001,"Да, пешеходный переход бы не мешал, так как посетители на автомобилях довольно «резво» проезжают это место.",2021-05-26 07:35:23
2994,Что с ней не так?,2021-05-20 17:11:11
2981,Наберитесь терпения...Всё как всегда😆...,2021-04-30 09:13:06
2921,А Трансбар? В современных реалиях это название воспринимается немного иначе)))),2021-04-08 07:00:17
2916,Что за чушь. В парке побывай),2021-04-07 14:27:27
2899,А в чем проблема? Пар кому-то мешает? Причем тут детские сады и школы?,2021-03-31 11:23:26
2890,А нечего что там односторонее??  Где встречку нашли?,2021-03-29 16:53:42
2891,"Максимум до  поворота во двор можно проехать,⭕⭕",2021-03-29 16:56:39
2892,Раньше от круга кирпич был,2021-03-29 16:58:05
2858,"3 года назад голуби были, с мохнатыми лапками, ходили с дочкой смотреть",2021-03-16 20:07:25
2803,"потому что чхать они хотели на нормальную уборку. Газон испортят? ничего, летом выпишут на озеленение",2021-02-21 18:53:19
2807,Добрый день! Допускается складирование снега на газоны. Благодарим за неравнодушное отношение к жизни района!,2021-02-24 08:07:47
2795,"А нафиг, собствнно говоря?..Лучше бы наш район не уродовали муравейниками, а не только всякие вот эти ""штанги для стариков"" устраивали...",2021-02-10 13:48:42
2748,ЖД пути не позволят закопать.,2021-01-09 10:49:30
2744,,2021-01-05 14:21:07
2734,Его по-моему пожизненно реставрируют....,2020-12-23 08:30:16
2713,"Слава Богу!!! ) А то уж я думал - нужны только менеджеры, курьеры и блогеры!!!!😃😂🤣",2020-12-07 18:40:39
2718,70к плохенький программист,2020-12-08 15:31:12
2692,"На ботанике и без светофора полная жопа была,твориться и будет всегда,а с этой хордой будет полный армагедец😢🤣",2020-11-21 22:03:17
2684,"Нелюди...Вспомним лето...Зеленое такое, сочное...На этой нашей с Вами полянке, бегают собаки, ходим мы, гуляем, дети по деревьям лазают...Точнее, считаем, что уже гуляЛИ...бегаЛИ...лазаЛИ...Пока эти сволочи ""сверху"" не приняли ""решение"" как можно еще бабла состричь и изуродовать в край этот наш кусочек...",2020-11-19 16:21:40
2642,Седов-Контакт. ),2020-09-17 20:00:50
2613,Видно близнецы на Беринговом),2020-08-21 15:00:36
2614,"Енисейская ул, два желтых дома",2020-08-21 16:48:45
2619,Близнецы,2020-08-23 19:18:02
2647,Акцию продлили до 24.11.2020,2020-09-23 13:39:26
2532,а я думала флоксы такие,2020-06-10 16:43:27
2523,"Добрый вечер! Подъем уровня воды в реке Яузе связан с выпадением сверхнормативных осадков.
На месте дежурят аварийные бригады ГУП «Мосводосток».",2020-05-31 17:31:52
2467,как вам такое управа это ул игарский пр,2020-04-12 11:07:19
