,text
0,"Это неправомерно, застройках такой плотности не должна быть "
1,"Мы должны не допустить уничтожение Свиблово! Мы сделаем всё возможное, чтобы уменьшить этажность новых домов, район был такой же зелёный и наши дети имели места в детских садах и школах рядом с домом."
2,"Хочу, чтобы наш район остался тихим и зелёным. Чтобы было, где учиться и гулять нашим детям."
3,Хватит поганить Москву!!!
4,"Я подписывают эту петицию, достало уже все, и непрофессионализм проектировщиков и наглость  т.н.реноваторов."
5,Люблю свой город.
6,"Я родилась и живу в СВАО. То, что собираются сделать с нашим районом - преступление против жителей. "
7,Живу здесь и хочу дышать! 
8,"Я подписывю, потому что понимаю весь ужас происходящего!Свиблово будет не для жизни , а для существования.Господа из мосгорду... во главе с нашим мэром, врут, когда говорят о заботе о людях.Если я не права -остановите эту вакханалию.Хватит поддерживать строительное лобби.Оставьте СВИБЛОВО в покое."
9,"Я категорически против проекта, который ухудшит экологию родного Свиблово, против расширения дорог, против вырубки деревьев. Наш президент сказал: срубил дерево - посади два дерева, а у нас компенсируют только убогими кустиками и раскатывают рулончик газона. Я хочу, как и прежде, жить в нашем тихом и зелёном Свиблово, дышать кислородом и слушать пение птиц. "
10,"Я подписываюсь потому, что живу ы Свиблово и хочу жить здесь дальше. Хочу, чтобы мои дети тоже жили здесь  Пора всем объединиться в борьбе со строительным лобби. Золотой телец лишил разума чиновников, гнать их в шею. Представьте, что будет, если застроят Свиблово, ,  улицу Искры и улицу Летчика Бабушкина, Измайлово, Северное Тушино и кучу других районов? Правительство, Москвы,  включите разум, отмените все проекты по реновации. Граждане должны сами себе зарабатывать на покупки квартир, а не принимать подачки от государства."
11,"Категорически против преступного проекта антинародной застроки района. <br />В районе не хватает инфраструктурных обектов (школ, детских садов, поликлиник), которые были построены еще при Советской власти и которые и так рассчитаны на чимленность населения, раза в два меньше сегодняшней. <br />Плинируется расширить проезжие части ВНУТРИ района за счет изъятия под дороги газонов и зеленых насаждений, но не предусмотрено реконструкция выездов из района. Пропускная способность дорог определяется не шириной проезжих частей, а пропускной способностью развязок. Ширина проезжих частей определяет только количество автомобилей, которые могут одновременно стоять в пробке.  При реализации проекта райно намертво встанет в круглосуточной пробке.  Движение по дорогам так же будет ограничено светофорами и &quot;зеленой фазой&quot; для пешеходов. <br />При реализации проекта райн будет превращен в гетто, в концентрационное поселение. <br />Планами развития города не предусмотрено развитие мест занятости населения, не предусмотрено создание новых рабочих мест, а, значит, планомерно и рпедумышленно создаются все условия для ухода &quot;нового&quot; населения в криминальные способы зарабатывания средств к существованию. <br />Плотная застрока уменьшит нормы инсоляции ниже любых мысленных минимумов, а значит, создаст все условия для роста заболеваемости,  уменьшит проветриваемость дворовых территорий и помещений, что так же приведет к росту заболеваемости и окончательной потере контроля на эпидемиологическими заболеваниями, даже такими тоталиторными методами, какие применялись при пандемии КОВИДа-19.<br />Проектами застроки предусмотрено количество парковочных мест, которых хватит разве что (от силы) на 1/5  количества автомобилей, а, значит, автомобилями будут наглухо забиты все дворовые территории, даже в домах, избежавших сноса по программе реновации.<br />Категорически против  проекта застройки территории района, требую этот проект отменить!"
12,Не хочу что бы наш зеленой уголок Москвы превратился в каменные джунгли с перенасилением и пробками!
13,Не хочу перенаселения моего района
14,Против застройки
15,"Категорически против застройки и перенаселения Москвы и Свиблово! Россия - самая большая и самая богатая в мире страна! Нужно развивать регионы, строить и создавать новые рабочие места там! Иначе мы просто потеряем нашу страну и наш народ!"
16,"Живу в этом тихом и красивом районе ,и мне не нужно ничего менять ,оставьте нас в покое!"
17,Против застройки высотками и дорогами 
18,Живу в районе Свиблово 
19,Надо учитывать мнение граждан 
20,"Я против застройки района Свиблово многоэтажными домами, против расширения дорог и уменьшения зеленых зон. "
21,"Моя семья уже 5 поколений живёт в Бабушкинскому районе. Это прекрасный, зелёный, уютный район. Я не хочу что бы выбранные мною мэр и другие чиновники под видом улучшения превратили мою Малую Родину в бетонной гетто с жуткой экологией. Когда проталкивали программу реновации  спрашивали только жителей 5этажек и не интересовались мнением тех жителей чьи дома стоят рядом со сносиммыми. тех чьи жилищные условия эта программа существенно ухудшает. Считаю, что недопустимо  улучшать условия  для одних жителей ухудшая условия для других. Программа реновации, в том виде, в котором она сейчас есть, делает хорошо только строительным олигархам и их друзьям сверху. Городу Москва ее жителям и экологии она только вредит. Нам, жителям СВАО, да и всего города не нужно столько новых соседей. Не нужно такого в 3,5 раза увеличения жителей. Где они все будут работать, лечиться? В какие школы и детские сады будут ходить дети? Метро уже сейчас перегружен! Как мы все будем перемещаться? Чем дышать, ведь вырубается больше 2/3 деревьев? Где будут стоять машины новых жителей, если новые 24-26 жтажные дома строят по концепции-двор без машин?!! Требую остановить и пересмотреть утвержденную программу реновации.!!"
22,"Я категорически против этого проекта! Всю зелень закатают в асфальт. По парковой зоне вдоль Яузы пустят 4х полосную дорогу, прямо под окнами дома Лазоревый 22. Сейчас там зелёный уголок, прогулочная зона и большая классная детская площадка. Потом, если увеличится население 70 доп. мест в детском саду не спасут. Наша сады итак переполнены. В группах по 33-35 человек. А приедут ещё сотни детей садов кого возраста в район. Надо минимум ещё 2 садика, и ещё 1 школу, а не убогую пристройку к старой 297."
23,Против.
