,0,1
416,Хех,2022-04-16 10:11:07
415,пора бы,2022-04-16 08:33:30
225,Легенда?,2021-03-17 17:19:05
226,Что?какие деньги?,2021-03-18 11:47:10
227,Каптоприл это от чего?,2021-03-18 11:47:35
228,Ля какая,2021-03-18 11:47:44
213,это точно! 😅,2021-03-10 15:13:08
169,"Сап, набираем людей в новую беседу. Москва, 16+. 
Цель: Сходки.
Беседа только создана! (28.12.20).
https://vk.me/join/AJQ1d2JMIxpOSJ26rbWp3zlW",2020-12-28 15:07:33
156,так и не нашли??,2020-12-18 12:50:31
155,"Не делаю актуальные новостные посты, а подписчики не проявляют активности всё равно. Вот как развивать кучу районный пабликов, если я там не живу?",2020-12-18 12:30:32
151,"Ну сейчас тоже нет проблем на работу устроиться. Я знаю где можно подработать если срочно деньги нужны! Курьеры-оформители, им деньги  ежедневно платят, вот телефон: 89161308933-куратор Александр.",2020-12-16 10:07:35
143,Новый район?,2020-12-04 11:08:58
122,Благодарю за размещение! 🙏🏻💖,2020-11-27 12:11:22
123,"Накопили,так накопили",2020-11-27 12:34:50
114,милаха),2020-11-27 09:24:14
109,бывает,2020-11-27 09:18:59
130,Да уж.Удивляюсь как часто в последнее время появляются такие жалобы и никакой реакции от Автолайн. Все им не так,2020-11-28 18:37:50
131,Нужно жаловаться перевозчику !!!!,2020-11-28 18:45:04
132,Там одни хамы работают... Автолайн испоганился очень,2020-11-28 18:50:55
133,Смысла жаловаться перевозчику просто нет!... Он сам этих хамов набирает на работу,2020-11-28 18:56:44
134,"Цены выставляют как хотят. Это ужас, и самое главное они ничем не подкрепляют эти цены",2020-11-28 19:17:49
135,Автолайн вообще набирают на работу кого угодно...Одни хамы у них работают,2020-11-28 19:23:14
136,Нужно жаловаться перевозчику !!!!,2020-11-28 20:00:44
110,,2020-11-27 09:19:05
111,какие расценки для начинающих?,2020-11-27 09:19:59
124,Может и нет хозяев то,2020-11-27 12:35:35
115,😄😂,2020-11-27 09:24:22
116,жесть,2020-11-27 09:24:25
125,Интересно чем тогда заменят ивл,2020-11-27 12:36:49
87,"Дааа,плохо муж её воспитывает !",2020-09-23 06:29:01
75,Хозяйка нашлась.,2020-08-15 08:47:48
62,Хех,2020-06-27 13:59:33
60,,2020-06-17 21:30:59
38,🤦‍♀,2020-03-18 07:46:53
39,это точно)),2020-03-18 07:47:02
40,😅,2020-03-18 07:47:08
41,,2020-03-18 07:47:18
42,😄,2020-03-18 07:47:22
43,😳,2020-03-18 07:47:28
44,🤦‍♀,2020-03-18 07:47:33
45,😄,2020-03-18 07:47:37
46,🎉🎉🎉,2020-03-18 07:47:41
47,и молодец!,2020-03-18 07:48:13
